,GrLivArea,BedroomAbvGr,FullBath,HalfBath,SalePrice
742,1349,3,2,0,179000
743,1464,3,2,0,175000
744,1337,2,2,0,180000
745,2715,4,3,1,299800
746,2256,4,2,1,236000
747,2640,4,1,1,265979
748,1720,3,2,0,260400
749,1529,4,2,0,98000
750,1140,3,1,0,96500
751,1320,3,2,1,162000
752,1494,3,2,0,217000
753,2098,3,2,1,275500
754,1026,3,1,0,156000
755,1471,3,2,1,172500
756,1768,3,2,1,212000
757,1386,3,2,1,158900
758,1501,3,2,1,179400
759,2531,4,2,1,290000
760,864,2,1,0,127500
761,1301,2,1,0,100000
762,1547,3,2,1,215200
763,2365,3,2,1,337000
764,1494,2,1,1,270000
765,1506,2,2,0,264132
766,1714,3,2,1,196500
767,1750,4,2,0,160000
768,1836,3,2,0,216837
769,3279,4,3,1,538000
770,858,2,1,0,134900
771,1220,2,1,0,102000
772,1117,3,1,0,107000
773,912,2,1,0,114500
774,1973,3,2,0,395000
775,1204,2,2,0,162000
776,1614,3,2,0,221500
777,894,3,1,0,142500
778,2020,4,2,0,144000
779,1004,2,1,0,135000
780,1253,3,2,0,176000
781,1603,3,2,1,175900
782,1430,3,2,0,187100
783,1110,1,1,0,165500
784,1484,3,2,0,128000
785,1342,3,2,0,161500
786,1652,4,2,0,139000
787,2084,4,2,1,233000
788,901,2,1,0,107900
789,2087,5,2,1,187500
790,1145,2,2,0,160200
791,1062,3,1,0,146800
792,2013,3,2,1,269790
793,1496,3,2,0,225000
794,1895,3,2,1,194500
795,1564,3,2,1,171000
796,1285,3,1,1,143500
797,773,2,1,0,110000
798,3140,4,3,1,485000
799,1768,3,1,1,175000
800,1688,4,2,1,200000
801,1196,2,1,0,109900
802,1456,3,2,1,189000
803,2822,4,3,1,582933
804,1128,2,1,0,118000
805,1428,3,2,0,227680
806,980,3,2,0,135500
807,1576,3,1,1,223500
808,1086,3,1,0,159950
809,2138,2,2,0,106000
810,1309,3,1,1,181000
811,848,1,1,0,144500
812,1044,2,1,0,55993
813,1442,4,1,1,157900
814,1250,3,1,1,116000
815,1661,3,2,0,224900
816,1008,2,1,0,137000
817,1689,3,2,0,271000
818,1052,3,1,0,155000
819,1358,2,2,0,224000
820,1640,3,2,1,183000
821,936,2,1,0,93000
822,1733,3,2,1,225000
823,1489,3,2,0,139500
824,1489,3,2,0,232600
825,2084,2,2,0,385000
826,784,2,1,0,109500
827,1434,3,2,0,189000
828,2126,3,2,1,185000
829,1223,2,2,1,147400
830,1392,3,1,1,166000
831,1200,2,2,1,151000
832,1829,3,2,1,237000
833,1516,3,1,1,167000
834,1144,3,1,0,139950
835,1067,2,2,0,128000
836,1559,2,1,0,153500
837,987,2,1,1,100000
838,1099,3,1,1,144000
839,1200,3,1,0,130500
840,1482,4,2,0,140000
841,1539,3,2,0,157500
842,1165,3,1,1,174900
843,1800,6,2,0,141000
844,1416,4,1,1,153900
845,1701,3,2,0,171000
846,1775,3,2,1,213000
847,864,3,1,0,133500
848,2358,5,3,0,240000
849,1855,3,2,1,187000
850,848,1,1,0,131500
851,1456,2,2,0,215000
852,1646,4,2,0,164000
853,1445,3,1,1,158000
854,1779,3,1,1,170000
855,1040,3,1,1,127000
856,1026,3,1,0,147000
857,1481,3,2,1,174000
858,1370,3,2,0,152000
859,2654,4,2,1,250000
860,1426,3,1,1,189950
861,1039,3,1,1,131500
862,1097,3,2,0,152000
863,1148,3,1,0,132500
864,1372,3,2,0,250580
865,1002,3,1,0,148500
866,1646,3,2,0,248900
867,1120,3,1,1,129000
868,2320,2,2,0,169000
869,1949,3,2,1,236000
870,894,2,1,0,109500
871,1682,3,2,1,200500
872,910,3,1,0,116000
873,1268,3,1,0,133000
874,1131,3,1,1,66500
875,2610,4,2,1,303477
876,1040,3,1,0,132250
877,2224,4,2,1,350000
878,1155,3,1,0,148000
879,864,3,1,0,136500
880,1090,2,1,1,157000
881,1717,3,2,1,187500
882,1593,3,2,1,178000
883,2230,5,1,0,118500
884,892,3,1,0,100000
885,1709,2,2,0,328900
886,1712,4,2,0,145000
887,1393,3,1,1,135500
888,2217,4,2,0,268000
889,1505,2,1,0,149500
890,924,3,1,0,122900
891,1683,3,2,1,172500
892,1068,3,1,0,154500
893,1383,3,1,0,165000
894,1535,4,2,0,118858
895,1796,4,1,1,140000
896,951,2,1,0,106500
897,2240,6,2,0,142953
898,2364,2,2,1,611657
899,1236,3,1,0,135000
900,858,2,1,0,110000
901,1306,2,1,0,153000
902,1509,3,2,1,180000
903,1670,3,2,0,240000
904,902,3,1,0,125500
905,1063,3,1,0,128000
906,1636,3,2,0,255000
907,2057,3,1,1,250000
908,902,2,1,0,131000
909,1484,3,2,1,174000
910,2274,5,2,0,154300
911,1268,3,1,1,143500
912,1015,3,1,0,88000
913,2002,4,2,0,145000
914,1224,2,2,1,173733
915,1092,3,1,1,75000
916,480,1,0,0,35311
917,1229,3,1,0,135000
918,2127,4,2,1,238000
919,1414,3,1,0,176500
920,1721,3,2,1,201000
921,2200,4,2,2,145900
922,1316,3,2,0,169990
923,1617,2,2,0,193000
924,1686,3,2,0,207500
925,1126,3,2,0,175000
926,2374,4,2,1,285000
927,1978,4,2,1,176000
928,1788,3,2,0,236500
929,2236,4,2,1,222000
930,1466,3,2,0,201000
931,925,2,1,0,117500
932,1905,3,2,0,320000
933,1500,3,2,0,190000
934,2069,4,2,0,242000
935,747,1,1,0,79900
936,1200,2,2,0,184900
937,1971,3,2,1,253000
938,1962,3,2,1,239799
939,2403,4,2,0,244400
940,1728,4,2,0,150900
941,2060,3,2,1,214000
942,1440,4,2,0,150000
943,1632,4,2,0,143000
944,1344,3,1,0,137500
945,1869,2,1,0,124900
946,1144,3,1,0,143000
947,1629,3,2,0,270000
948,1776,3,2,1,192500
949,1381,3,1,1,197500
950,864,3,1,0,129000
951,965,3,1,0,119900
952,768,2,1,0,133900
953,1968,4,2,1,172000
954,980,4,2,0,127500
955,1958,4,2,0,145000
956,1229,2,1,1,124000
957,1057,3,1,0,132000
958,1337,3,2,0,185000
959,1416,3,2,1,155000
960,858,2,1,0,116500
961,2872,4,2,1,272000
962,1548,3,2,1,155000
963,1800,2,2,0,239000
964,1894,4,2,1,214900
965,1484,3,2,1,178900
966,1308,2,1,1,160000
967,1098,3,1,0,135000
968,968,2,1,0,37900
969,1095,2,1,0,140000
970,1192,4,1,1,135000
971,1626,2,2,0,173000
972,918,2,2,0,99500
973,1428,3,2,0,182000
974,2019,3,1,0,167500
975,1382,3,2,1,165000
976,869,2,1,0,85500
977,1241,1,1,1,199900
978,894,3,1,0,110000
979,1121,3,1,0,139000
980,999,3,1,0,178400
981,2612,4,2,1,336000
982,1266,2,2,0,159895
983,2290,4,2,1,255900
984,1734,4,2,0,126000
985,1164,3,1,0,125000
986,1635,2,1,0,117000
987,1940,3,2,1,395192
988,2030,4,2,1,195000
989,1576,3,2,1,197000
990,2392,3,2,1,348000
991,1742,4,1,1,168000
992,1851,3,2,1,187000
993,1500,3,2,1,173900
994,1718,3,2,0,337500
995,1230,3,1,1,121600
996,1050,3,1,0,136500
997,1442,2,2,0,185000
998,1077,3,1,0,91000
999,1208,2,2,0,206000
1000,944,2,1,0,82000
1001,691,2,1,0,86000
1002,1574,3,2,0,232000
1003,1680,4,2,0,136905
1004,1504,1,2,0,181000
1005,985,3,2,0,149900
1006,1657,3,2,0,163500
1007,1092,3,1,1,88000
1008,1710,3,2,0,240000
1009,1522,4,2,0,102000
1010,1271,4,2,0,135000
1011,1664,4,2,0,100000
1012,1502,3,1,1,165000
1013,1022,2,1,0,85000
1014,1082,2,1,0,119200
1015,1665,3,2,1,227000
1016,1504,3,2,0,203000
1017,1360,1,1,0,187500
1018,1472,3,2,1,160000
1019,1506,2,2,0,213490
1020,1132,2,1,1,176000
1021,1220,2,2,0,194000
1022,1248,2,1,0,87000
1023,1504,2,2,0,191000
1024,2898,2,2,0,287000
1025,882,3,1,0,112500
1026,1264,3,1,0,167500
1027,1646,3,2,0,293077
1028,1376,3,1,0,105000
1029,1218,3,1,1,118000
1030,1928,5,2,0,160000
1031,3082,5,2,1,197000
1032,2520,5,2,1,310000
1033,1654,3,2,0,230000
1034,954,2,1,0,119750
1035,845,3,1,0,84000
1036,1620,2,2,0,315500
1037,2263,3,2,1,287000
1038,1344,3,1,1,97000
1039,630,1,1,0,80000
1040,1803,3,2,0,155000
1041,1632,4,1,1,173000
1042,1306,1,2,0,196000
1043,2329,4,2,1,262280
1044,2524,4,2,1,278000
1045,1733,4,2,0,139600
1046,2868,4,3,1,556581
1047,990,3,1,0,145000
1048,1771,3,1,0,115000
1049,930,2,1,0,84900
1050,1302,3,2,0,176485
1051,1316,3,2,0,200141
1052,1977,4,1,1,165000
1053,1526,4,1,0,144500
1054,1989,3,2,1,255000
1055,1523,3,2,0,180000
1056,1364,2,2,0,185850
1057,1850,3,2,1,248000
1058,2184,3,2,1,335000
1059,1991,3,1,1,220000
1060,1338,2,2,0,213500
1061,894,2,1,0,81000
1062,2337,5,2,0,90000
1063,1103,2,1,0,110500
1064,1154,3,1,1,154000
1065,2260,3,2,1,328000
1066,1571,3,2,1,178000
1067,1611,4,1,1,167900
1068,2521,5,2,1,151400
1069,893,2,1,0,135000
1070,1048,3,1,0,135000
1071,1556,4,1,1,154000
1072,1456,4,1,0,91500
1073,1426,3,1,1,159500
1074,1240,2,2,0,194000
1075,1740,3,1,1,219500
1076,1466,3,2,0,170000
1077,1096,3,1,0,138800
1078,848,1,1,0,155900
1079,990,3,1,0,126000
1080,1258,3,2,0,145000
1081,1040,3,1,1,133000
1082,1459,3,2,0,192000
1083,1251,3,1,0,160000
1084,1498,3,2,1,187500
1085,996,2,1,0,147000
1086,1092,3,1,1,83500
1087,1953,3,2,1,252000
1088,1709,3,2,0,137500
1089,1247,1,1,1,197000
1090,1040,2,2,0,92900
1091,1252,2,2,1,160000
1092,1694,4,2,0,136500
1093,1200,1,1,1,146000
1094,936,2,1,0,129000
1095,1314,3,2,0,176432
1096,1355,3,1,1,127000
1097,1088,2,1,1,170000
1098,1324,3,1,0,128000
1099,1601,3,2,0,157000
1100,438,1,1,0,60000
1101,950,3,1,0,119500
1102,1134,2,1,0,135000
1103,1194,3,1,0,159500
1104,1302,3,2,1,106000
1105,2622,3,2,1,325000
1106,1442,3,2,0,179900
1107,2021,3,2,1,274725
1108,1690,3,2,1,181000
1109,1836,3,2,0,280000
1110,1658,3,2,1,188000
1111,1964,4,2,1,205000
1112,816,2,1,0,129900
1113,1008,2,1,0,134500
1114,833,2,1,0,117000
1115,1734,3,2,0,318000
1116,1419,3,2,1,184100
1117,894,3,1,0,130000
1118,1601,3,1,0,140000
1119,1040,3,1,0,133700
1120,1012,2,1,0,118400
1121,1552,3,2,0,212900
1122,960,3,1,0,112000
1123,698,2,1,0,118000
1124,1482,3,2,1,163900
1125,1005,2,1,0,115000
1126,1555,2,2,0,174000
1127,1530,3,2,0,259000
1128,1959,4,2,1,215000
1129,936,2,1,0,140000
1130,1981,4,2,0,135000
1131,974,3,1,0,93500
1132,2210,5,2,0,117500
1133,2020,3,2,1,239500
1134,1600,3,2,1,169000
1135,986,2,1,0,102000
1136,1252,3,1,0,119000
1137,1020,2,1,0,94000
1138,1567,2,2,0,196000
1139,1167,3,1,0,144000
1140,952,2,1,0,139000
1141,1868,4,2,1,197500
1142,2828,4,3,0,424870
1143,1006,3,1,0,80000
1144,924,2,1,0,80000
1145,1576,3,1,0,149000
1146,1298,3,2,0,180000
1147,1564,3,1,1,174500
1148,1111,2,1,0,116900
1149,1482,3,1,0,143000
1150,932,2,1,0,124000
1151,1466,3,1,1,149900
1152,1811,2,1,0,230000
1153,816,2,1,0,120500
1154,1820,4,1,2,201800
1155,1437,3,2,0,218000
1156,1265,3,2,0,179900
1157,1314,2,2,0,230000
1158,1580,3,2,0,235128
1159,1876,4,2,1,185000
1160,1456,3,2,1,146000
1161,1640,3,1,0,224000
1162,894,3,1,0,129000
1163,1258,0,0,2,108959
1164,1432,2,1,1,194000
1165,1502,3,2,0,233170
1166,1694,3,2,0,245350
1167,1671,3,2,1,173000
1168,2108,4,2,0,235000
1169,3627,4,3,1,625000
1170,1118,3,1,0,171000
1171,1261,3,1,0,163000
1172,1250,2,2,1,171900
1173,3086,3,3,0,200500
1174,2345,4,2,1,239000
1175,2872,4,2,1,285000
1176,923,3,1,0,119500
1177,1224,3,1,0,115000
1178,1343,3,1,1,154900
1179,1124,3,1,0,93000
1180,2514,4,2,1,250000
1181,1652,2,2,0,392500
1182,4476,4,3,1,745000
1183,1130,2,1,0,120000
1184,1572,3,1,1,186700
1185,1221,4,1,0,104900
1186,1699,3,2,0,95000
1187,1624,2,2,0,262000
1188,1660,3,2,1,195000
1189,1804,3,2,1,189000
1190,1622,3,1,0,168000
1191,1441,2,2,1,174000
1192,1472,3,1,0,125000
1193,1224,2,2,0,165000
1194,1352,4,1,1,158000
1195,1456,3,2,1,176000
1196,1863,4,2,1,219210
1197,1690,3,1,0,144000
1198,1212,3,2,0,178000
1199,1382,3,1,1,148000
1200,864,3,1,0,116050
1201,1779,3,2,1,197900
1202,1348,3,1,0,117000
1203,1630,3,2,0,213000
1204,1074,3,1,1,153500
1205,2196,3,2,0,271900
1206,1056,2,1,0,107000
1207,1700,3,2,0,200000
1208,1283,3,1,0,140000
1209,1660,3,2,0,290000
1210,1845,3,2,1,189000
1211,1752,4,2,0,164000
1212,672,2,1,0,113000
1213,960,0,0,0,145000
1214,999,3,1,0,134500
1215,894,3,1,0,125000
1216,1902,4,2,0,112000
1217,1314,3,2,0,229456
1218,912,2,1,0,80500
1219,1218,3,1,1,91500
1220,912,2,1,0,115000
1221,1211,3,1,0,134000
1222,1846,3,2,0,143000
1223,2136,4,2,0,137900
1224,1490,3,2,1,184000
1225,1138,3,1,0,145000
1226,1933,4,2,1,214000
1227,912,2,1,0,147000
1228,1702,1,1,1,367294
1229,1507,4,2,0,127000
1230,2620,4,2,2,190000
1231,1190,3,1,0,132500
1232,1224,2,2,0,101800
1233,1188,3,1,0,142000
1234,1964,4,1,1,130000
1235,1784,4,1,1,138887
1236,1626,2,2,1,175500
1237,1948,4,2,1,195000
1238,1141,3,1,1,142500
1239,1484,2,2,0,265900
1240,1768,3,2,1,224900
1241,1689,3,2,0,248328
1242,1173,3,2,0,170000
1243,2076,2,2,1,465000
1244,1517,3,1,0,230000
1245,1868,3,3,1,178000
1246,1553,3,2,1,186500
1247,1034,3,1,0,169900
1248,2058,3,1,1,129500
1249,988,3,1,0,119000
1250,2110,3,2,1,244000
1251,1405,2,2,0,171750
1252,874,3,1,0,130000
1253,2167,3,2,1,294000
1254,1656,3,2,1,165400
1255,1367,3,1,0,127500
1256,1987,2,2,0,301500
1257,864,2,1,0,99900
1258,1166,2,2,0,190000
1259,1054,3,1,1,151000
1260,1675,3,2,1,181000
1261,1050,2,1,0,128900
1262,1788,5,1,0,161500
1263,1824,3,1,0,180500
1264,1337,2,2,0,181000
1265,1452,3,2,1,183900
1266,1889,4,1,1,122000
1267,2018,3,2,0,378500
1268,3447,4,3,1,381000
1269,1524,3,1,1,144000
1270,1524,0,0,1,260000
1271,1489,3,2,0,185750
1272,935,3,1,0,137000
1273,1357,2,1,0,177000
1274,1250,3,2,0,139000
1275,1920,4,2,0,137000
1276,1395,3,1,1,162000
1277,1724,3,1,1,197900
1278,2031,3,2,1,237000
1279,1128,2,1,0,68400
1280,1573,3,2,0,227000
1281,1339,2,2,0,180000
1282,1040,3,2,0,150500
1283,1824,4,2,2,139000
1284,2447,4,2,0,169000
1285,1412,4,1,0,132500
1286,1328,3,1,1,143000
1287,1582,4,2,0,190000
1288,1659,2,2,0,278000
1289,1970,3,2,1,281000
1290,1152,3,1,0,180500
1291,1302,3,2,1,119500
1292,2372,4,2,0,107500
1293,1664,4,2,1,162900
1294,864,2,1,0,115000
1295,1052,3,1,1,138500
1296,1128,3,2,0,155000
1297,1072,2,2,0,140000
1298,5642,3,2,1,160000
1299,1246,3,1,1,154000
1300,1983,3,2,1,225000
1301,1494,3,1,0,177500
1302,2526,4,2,1,290000
1303,1616,3,2,0,232000
1304,1708,3,2,0,130000
1305,1652,2,2,0,325000
1306,1368,2,2,0,202500
1307,990,3,1,0,138000
1308,1122,2,1,0,147000
1309,1294,3,2,0,179200
1310,1902,3,2,0,335000
1311,1274,3,2,0,203000
1312,2810,4,2,1,302000
1313,2599,4,2,1,333168
1314,948,3,1,0,119000
1315,2112,4,2,1,206900
1316,1630,3,2,0,295493
1317,1352,2,2,0,208900
1318,1787,3,2,0,275000
1319,948,3,1,0,111000
1320,1478,3,1,1,156500
1321,720,2,1,0,72500
1322,1923,3,2,1,190000
1323,708,2,1,0,82500
1324,1795,2,2,0,147000
1325,796,2,1,0,55000
1326,774,3,1,0,79000
1327,816,3,1,0,130500
1328,2792,5,2,0,256000
1329,1632,3,2,1,176500
1330,1588,3,2,0,227000
1331,954,3,1,0,132500
1332,816,2,1,0,100000
1333,1360,2,1,1,125500
1334,1365,3,1,1,125000
1335,1334,2,2,0,167900
1336,1656,4,2,0,135000
1337,693,2,1,0,52500
1338,1861,3,2,1,200000
1339,864,3,1,0,128500
1340,872,3,1,0,123000
1341,1114,3,1,0,155000
1342,2169,3,2,1,228500
1343,1913,3,1,1,177000
1344,1456,3,2,1,155835
1345,960,2,1,0,108500
1346,2156,3,2,0,262500
1347,1776,3,2,0,283463
1348,1494,3,2,0,215000
1349,2358,4,2,0,122000
1350,2634,6,2,2,200000
1351,1716,4,1,1,171000
1352,1176,2,1,0,134900
1353,3238,4,2,1,410000
1354,1865,3,2,1,235000
1355,1920,4,3,0,170000
1356,892,3,1,0,110000
1357,1078,3,1,1,149900
1358,1573,3,2,1,177500
1359,1980,3,2,0,315000
1360,2601,4,3,1,189000
1361,1530,3,2,0,260000
1362,1738,4,2,0,104900
1363,1412,3,2,1,156932
1364,1200,2,2,1,144152
1365,1674,3,2,1,216000
1366,1790,3,2,1,193000
1367,1475,4,2,0,127000
1368,848,1,1,0,144000
1369,1668,3,2,0,232000
1370,1374,2,1,0,105000
1371,1661,3,1,0,165500
1372,2097,3,2,1,274300
1373,2633,2,2,1,466500
1374,1958,3,2,1,250000
1375,1571,3,2,0,239000
1376,790,2,1,0,91000
1377,1604,3,2,0,117000
1378,987,2,1,1,83000
1379,1394,3,2,1,167500
1380,864,2,1,0,58500
1381,2117,4,2,1,237500
1382,1762,4,1,1,157000
1383,1416,3,2,0,112000
1384,1258,2,1,0,105000
1385,1154,3,1,0,125500
1386,2784,5,3,1,250000
1387,2526,5,2,0,136000
1388,1746,3,2,0,377500
1389,1218,3,1,0,131000
1390,1525,3,2,0,235000
1391,1584,4,2,0,124000
1392,900,3,1,0,123000
1393,1912,3,2,0,163000
1394,1500,2,2,0,246578
1395,2482,4,2,1,281213
1396,1687,3,1,0,160000
1397,1513,4,1,1,137500
1398,1904,3,1,1,138000
1399,1608,3,2,1,137450
1400,1158,3,1,0,120000
1401,1593,3,2,1,193000
1402,1294,2,2,0,193879
1403,1464,3,2,0,282922
1404,1214,3,1,0,105000
1405,1646,2,2,0,275000
1406,768,2,1,0,133000
1407,833,3,1,0,112000
1408,1363,3,1,0,125500
1409,2093,3,2,1,215000
1410,1840,3,2,1,230000
1411,1668,3,1,1,140000
1412,1040,2,2,0,90000
1413,1844,2,2,0,257000
1414,1848,4,1,1,207000
1415,1569,1,2,0,175900
1416,2290,4,2,0,122500
1417,2450,3,2,1,340000
1418,1144,3,1,1,124000
1419,1844,3,2,0,223000
1420,1416,3,2,1,179900
1421,1069,2,2,0,127500
1422,848,1,1,0,136500
1423,2201,4,2,0,274970
1424,1344,2,1,0,144000
1425,1252,3,1,0,142000
1426,2127,3,2,1,271000
1427,1558,3,1,1,140000
1428,804,2,1,0,119000
1429,1440,3,2,0,182900
1430,1838,4,2,1,192140
1431,958,2,2,0,143750
1432,968,4,2,0,64500
1433,1792,3,2,1,186500
1434,1126,3,2,0,160000
1435,1537,3,1,1,174000
1436,864,3,1,0,120500
1437,1932,2,2,0,394617
1438,1236,2,1,0,149700
1439,1725,3,2,1,197000
1440,2555,3,2,0,191000
1441,848,1,1,0,149300
1442,2007,3,2,1,310000
1443,952,2,1,0,121000
1444,1422,3,2,0,179600
1445,913,3,1,0,129000
1446,1188,3,1,0,157900
1447,2090,3,2,1,240000
1448,1346,2,1,1,112000
1449,630,1,1,0,92000
1450,1792,4,2,2,136000
1451,1578,3,2,0,287090
1452,1072,2,1,0,145000
1453,1140,3,1,0,84500
1454,1221,2,2,0,185000
1455,1647,3,2,1,175000
1456,2073,3,2,0,210000
1457,2340,4,2,0,266500
1458,1078,2,1,0,142125
1459,1256,3,1,1,147500
